0.000000	0.000000
0.100000	0.099833
0.200000	0.198669
0.300000	0.295520
0.400000	0.389418
0.500000	0.479426
0.600000	0.564642
0.700000	0.644218
0.800000	0.717356
0.900000	0.783327
1.000000	0.841471
1.100000	0.891207
1.200000	0.932039
1.300000	0.963558
1.400000	0.985450
1.500000	0.997495
1.600000	0.999574
1.700000	0.991665
1.800000	0.973848
1.900000	0.946300
2.000000	0.909297
2.100000	0.863209
2.200000	0.808496
2.300000	0.745705
2.400000	0.675463
2.500000	0.598472
2.600000	0.515501
2.700000	0.427380
2.800000	0.334988
2.900000	0.239249
3.000000	0.141120
3.100000	0.041581
3.200000	-0.058374
3.300000	-0.157746
3.400000	-0.255541
3.500000	-0.350783
3.600000	-0.442520
3.700000	-0.529836
3.800000	-0.611858
3.900000	-0.687766
4.000000	-0.756802
4.100000	-0.818277
4.200000	-0.871576
4.300000	-0.916166
4.400000	-0.951602
4.500000	-0.977530
4.600000	-0.993691
4.700000	-0.999923
4.800000	-0.996165
4.900000	-0.982453
5.000000	-0.958924
5.100000	-0.925815
5.200000	-0.883455
5.300000	-0.832267
5.400000	-0.772764
5.500000	-0.705540
5.600000	-0.631267
5.700000	-0.550686
5.800000	-0.464602
5.900000	-0.373877
6.000000	-0.279415
6.100000	-0.182163
6.200000	-0.083089
